env,N,V,mode,final_mean,final_std,n_seeds
line,10,3,base,4.257201986191886,0.3020675380751477,3
line,10,3,aug,4.205473931231507,0.2889391305162384,3
line,10,3,difftopv,3.002672516409891,0.0025723301613791347,3
line,10,3,deeptopj,4.083370744481857,0.9400907557072915,3
line,10,3,deeptopjreg,3.0319185117164924,0.7973493828001865,3
line,10,3,neurwin,2.3603373805394017,0.10703632440886178,3
line,20,5,base,6.415710301669897,0.4258969216356505,3
line,20,5,aug,7.004769581335238,0.24441017854847544,3
line,20,5,difftopv,5.002861952861953,0.0018728871536349528,3
line,20,5,deeptopj,6.3053253069414685,0.3795679689833622,3
line,20,5,deeptopjreg,5.418225011053296,1.7481100369639317,3
line,20,5,neurwin,3.627572696663607,0.02126144395140587,3
line,30,6,base,8.427768254939972,0.4935872595914622,3
line,30,6,aug,7.525769819406183,0.13561239503624123,3
line,30,6,difftopv,6.002460633268715,0.0014614093677935874,3
line,30,6,deeptopj,10.718074346155161,0.2659510614688188,3
line,30,6,deeptopjreg,8.840973029962925,1.5591431385429841,3
line,30,6,neurwin,5.104618236234405,0.007058596960677825,3
recovering,10,3,base,17.058647713282465,0.053457676011844736,3
recovering,10,3,aug,17.082953636352304,0.030555496919619625,3
recovering,10,3,difftopv,16.07457164454237,0.42800664604084077,3
recovering,10,3,deeptopj,9.447331536750044,0.8758256066141534,3
recovering,10,3,deeptopjreg,10.313353964800484,0.9002399950302388,3
recovering,10,3,neurwin,10.227648663078805,0.1564688274740799,3
recovering,20,5,base,30.50449906216465,0.08703173453001073,3
recovering,20,5,aug,30.48571073857413,0.01959516791594494,3
recovering,20,5,difftopv,27.997603117802985,0.22549510808776368,3
recovering,20,5,deeptopj,17.9637637934543,1.2581374073175455,3
recovering,20,5,deeptopjreg,17.801823278038555,2.0416934267174143,3
recovering,20,5,neurwin,15.8539770303202,0.3350147895074166,3
recovering,30,6,base,39.14500633073926,0.11116961838639941,3
recovering,30,6,aug,39.124407337817956,0.054806261226022786,3
recovering,30,6,difftopv,35.950393330846936,0.2858093114844582,3
recovering,30,6,deeptopj,17.377225850347916,0.7151157334386606,3
recovering,30,6,deeptopjreg,18.814907622216378,5.38492169740841,3
recovering,30,6,neurwin,19.984392891635263,0.3496947741856217,3
