env,N,V,mode,final_mean,final_std
line,10,3,base,4.257201986191886,0.3020675380751477
line,10,3,aug,4.205473931231507,0.2889391305162384
line,20,5,base,6.415710301669897,0.4258969216356505
line,20,5,aug,7.004769581335238,0.24441017854847544
line,30,6,base,8.427768254939972,0.4935872595914622
line,30,6,aug,7.525769819406183,0.13561239503624123
recovering,10,3,base,17.058647713282465,0.053457676011844736
recovering,10,3,aug,17.082953636352304,0.030555496919619625
recovering,20,5,base,30.50449906216465,0.08703173453001073
recovering,20,5,aug,30.48571073857413,0.01959516791594494
recovering,30,6,base,39.14500633073926,0.11116961838639941
recovering,30,6,aug,39.124407337817956,0.054806261226022786
